role,source_field,scene_idx,ra_deg,dec_deg,z_phot_legacy,z_phot_err,legacy_morphology,F444W_peak_sim_units,compactness_F444W,has_F444W
lens_scene,primer_cosmos,211,150.003310,2.407535,0.371771,0.030619,SER,2859.060547,0.113395,True
lens_scene,primer_cosmos,212,150.004881,2.449085,0.714023,0.046481,DEV,1071.707153,0.135371,True
lens_scene,primer_cosmos,213,150.005526,2.444259,0.787062,0.070162,REX,804.726318,0.257870,True
lens_scene,primer_cosmos,214,150.006126,2.449946,0.777409,0.099565,EXP,172.909241,0.022314,True
lens_scene,primer_cosmos,215,150.006161,2.430998,0.269738,0.038903,EXP,421.932648,0.078438,True
lens_scene,primer_cosmos,216,150.006367,2.445216,0.678216,0.050739,DEV,1602.276001,0.151156,True
lens_scene,primer_cosmos,217,150.006701,2.422188,0.215376,0.051768,REX,824.100403,0.168553,True
lens_scene,primer_cosmos,218,150.006752,2.440919,0.718007,0.041288,SER,756.486694,0.184647,True
lens_scene,primer_cosmos,219,150.007099,2.453444,0.790658,0.049453,DEV,1377.772339,0.133032,True
lens_scene,primer_cosmos,220,150.007682,2.445880,0.717528,0.031712,REX,1313.474487,0.178210,True
lens_scene,primer_cosmos,221,150.007838,2.428460,0.558115,0.080805,EXP,112.788826,0.120831,True
lens_scene,primer_cosmos,222,150.010589,2.452874,0.725246,0.048077,REX,759.665344,0.197881,True
lens_scene,primer_cosmos,223,150.011302,2.447441,0.985927,0.099457,REX,539.348755,0.167760,True
lens_scene,primer_cosmos,224,150.011925,2.410121,0.258137,0.039235,SER,576.988525,0.144913,True
lens_scene,primer_cosmos,225,150.012295,2.449524,0.778966,0.075073,DEV,295.907318,0.135583,True
lens_scene,primer_cosmos,226,150.013090,2.428183,0.756204,0.041400,REX,970.042725,0.237045,True
lens_scene,primer_cosmos,227,150.014410,2.417061,0.713711,0.064091,REX,847.177673,0.119060,True
lens_scene,primer_cosmos,228,150.015480,2.440737,0.277855,0.053612,DEV,710.838501,0.149594,True
lens_scene,primer_cosmos,229,150.016228,2.438613,0.608591,0.025330,SER,2490.843018,0.182226,True
lens_scene,primer_cosmos,230,150.018140,2.437184,0.346398,0.045169,SER,1038.917725,0.189533,True
lens_scene,primer_cosmos,231,150.018150,2.430740,0.219566,0.005533,SER,5280.297363,0.126366,True
lens_scene,primer_cosmos,232,150.018475,2.446201,0.680645,0.073382,REX,153.394531,0.085723,True
lens_scene,primer_cosmos,233,150.018600,2.427153,0.288382,0.055859,EXP,149.904495,0.055417,True
lens_scene,primer_cosmos,234,150.020568,2.438606,0.858006,0.067848,DEV,288.972046,0.139154,True
lens_scene,primer_cosmos,235,150.020709,2.422620,0.698125,0.044086,REX,771.942261,0.099544,True
lens_scene,primer_cosmos,236,150.022142,2.421033,0.949299,0.071438,REX,345.749786,0.048348,True
lens_scene,primer_cosmos,237,150.022347,2.425453,0.445075,0.040069,REX,976.349426,0.117846,True
lens_scene,primer_cosmos,238,150.023624,2.443265,0.277508,0.036202,SER,518.174011,0.098955,True
lens_scene,primer_cosmos,239,150.023774,2.446685,0.734570,0.044028,REX,972.966675,0.204424,True
lens_scene,primer_cosmos,240,150.027952,2.445154,0.416400,0.070173,DEV,1429.064209,0.174716,True
lens_scene,primer_cosmos,241,150.028513,2.442212,0.593667,0.098971,DEV,159.810852,0.141688,True
lens_scene,primer_uds,242,34.345675,-5.175838,0.565288,0.099772,DEV,433.320190,0.071319,False
lens_scene,primer_uds,243,34.345874,-5.214130,0.640742,0.033633,REX,4220.223633,0.154256,False
lens_scene,primer_uds,244,34.345909,-5.223113,0.671224,0.048117,REX,881.171326,0.109374,False
lens_scene,primer_uds,245,34.346678,-5.242779,0.518518,0.080951,REX,181.431427,0.159805,False
lens_scene,primer_uds,246,34.347321,-5.231408,0.499245,0.049621,SER,2095.286133,0.046512,False
lens_scene,primer_uds,247,34.347499,-5.236888,0.806557,0.067518,REX,4639.933594,0.220456,False
lens_scene,primer_uds,248,34.347963,-5.228322,0.240892,0.036764,SER,221.330032,0.067397,False
lens_scene,primer_uds,249,34.348439,-5.203727,0.938124,0.088578,EXP,347.702454,0.051914,False
lens_scene,primer_uds,250,34.348890,-5.186155,0.520944,0.092024,EXP,185.699722,0.138763,False
lens_scene,primer_uds,251,34.349902,-5.190726,0.697735,0.083389,REX,698.365295,0.166665,False
lens_scene,primer_uds,252,34.350427,-5.228699,0.526089,0.091043,DEV,589.071899,0.171545,False
lens_scene,primer_uds,253,34.350594,-5.265607,0.401910,0.048205,EXP,1783.219604,0.123993,False
lens_scene,primer_uds,254,34.351032,-5.311254,0.727893,0.088330,SER,550.978333,0.085884,False
lens_scene,primer_uds,255,34.351636,-5.214494,0.928667,0.033621,SER,6291.717285,0.220430,False
lens_scene,primer_uds,256,34.352304,-5.194703,0.468157,0.094582,REX,270.724304,0.198401,False
lens_scene,primer_uds,257,34.352499,-5.165299,0.403006,0.073972,REX,634.526733,0.220393,False
lens_scene,primer_uds,258,34.352627,-5.162656,0.940935,0.066121,REX,1698.803711,0.128985,False
lens_scene,primer_uds,259,34.353951,-5.187756,0.246386,0.024765,SER,10279.203125,0.259435,False
lens_scene,primer_uds,260,34.355029,-5.314711,0.541231,0.044867,EXP,4542.648926,0.170655,False
lens_scene,primer_uds,261,34.355847,-5.193023,0.603800,0.075899,DEV,2157.872070,0.194668,False
lens_scene,primer_uds,262,34.355886,-5.170199,0.553945,0.066979,EXP,389.792419,0.124482,False
lens_scene,primer_uds,263,34.355964,-5.198379,0.564049,0.023379,SER,5780.193848,0.214595,False
lens_scene,primer_uds,264,34.355994,-5.204098,0.694674,0.056337,REX,349.129883,0.108712,False
