index,lensed,completed,z_lens,z_source,theta_E_arcsec,sigma_v_kms,sigma_v_F115W_kms,sigma_v_F150W_kms,sigma_v_F277W_kms,einstein_mass_msun,lens_mag_F115W_ab,lens_mag_F150W_ab,lens_mag_F277W_ab
89,0,1,2.5,1.5,0,245.167,238.745,245.167,261.725,0,24.1262,23.5828,22.9836
90,0,1,1.3,2.84615,0,167.009,162.377,167.009,167.532,0,24.0633,23.513,23.184
91,0,1,0.78,3.34783,0,143.555,156.542,143.555,138.321,0,22.8569,22.8049,22.6508
92,0,1,0.67,2.33333,0,114.447,123.761,114.447,110.757,0,23.4744,23.3861,23.213
93,0,1,0.32,1.94118,0,146.033,153.299,146.033,134.59,0,20.6368,20.4196,20.4585
94,0,1,1.39,2.7037,0,193.281,201.409,193.281,192.926,0,23.3068,23.0576,22.7502
95,0,1,2.05,2.84615,0,187.175,170.151,187.175,257.156,0,25.0738,24.2316,22.5367
96,0,1,0.62,1.7027,0,119.73,127.43,118.57,119.73,0,23.143,23.0278,22.6701
97,0,1,0.6,1.5641,0,138.712,147.558,138.712,135.913,0,22.4198,22.2602,22.0333
98,0,1,0.74,3.54545,0,223.518,223.518,219.16,230.313,0,21.1702,20.8277,20.2967
99,0,1,0.61,1.43902,0,120.245,120.626,116.935,120.245,0,23.3385,23.0454,22.6088
100,0,1,0.77,1.27273,0,157.61,157.61,154.877,167.854,0,22.7931,22.4409,21.7761
101,0,1,1.3,1.7027,0,144.372,144.372,143.137,158.038,0,24.5737,24.1829,23.4374
102,0,1,0.68,2.44828,0,136.576,136.576,133.174,138.774,0,23.0856,22.7671,22.2728
103,0,1,0.24,2.125,0,80,82.741,76.6314,67.236,0,22.6003,22.5054,22.758
104,0,1,0.25,2.57143,0,80,75.8475,70.2673,61.654,0,23.0785,22.9823,23.2348
105,0,1,1.04,1.85714,0,177.704,178.528,167.908,177.704,0,23.054,22.8923,22.3306
106,0,1,0.61,2.84615,0,106.728,106.728,102.211,110.083,0,23.8701,23.6298,22.9922
107,0,1,0.49,3,0,107.461,113.474,107.461,105.91,0,23.0316,22.84,22.5877
108,0,1,0.62,3.34783,0,198.909,198.909,193.346,200.727,0,21.2091,20.9042,20.4261
109,0,1,1.04,2.7037,0,176.65,180.212,171.006,176.65,0,23.0133,22.8129,22.3565
110,0,1,1.79,2.33333,0,194.744,192.22,194.744,203.259,0,24.1843,23.6995,23.1983
111,0,1,0.44,1.5,0,139.509,144.755,139.509,138.411,0,21.696,21.4283,21.1472
112,0,1,0.63,3.7619,0,250.356,250.356,247.723,260.453,0,20.2522,19.8701,19.337
113,0,1,2.33,1.04082,0,203.019,117.321,203.019,233.928,0,27.0265,24.2168,23.286
114,0,1,0.88,1.63158,0,161.119,173.14,160.732,161.119,0,22.7406,22.6355,22.3096
115,0,1,1.68,2.84615,0,192.607,191.423,192.607,198.789,0,24.0335,23.5786,23.126
116,0,1,0.44,2.0303,0,146.022,146.022,144.365,146.575,0,21.6582,21.2797,20.8983
117,0,1,1.06,1.17391,0,172.593,172.593,171.02,180.315,0,23.2518,22.8635,22.3183
118,0,1,1.31,3,0,218.874,218.483,218.874,237.481,0,22.7948,22.359,21.6892
119,0,1,1.28,2.125,0,212.306,210.409,212.306,232.078,0,22.8964,22.4293,21.7272
120,0,1,0.628613,1.04082,0,242.591,nan,nan,nan,0,19.0118,18.6283,18.1443
121,0,1,1.86,1.5641,0,198.929,198.929,198.553,209.53,0,24.1372,23.7174,23.1683
122,0,1,0.35,2.84615,0,120.686,128.26,120.686,110.087,0,21.6372,21.4735,21.5573
123,0,1,0.91,2.0303,0,276.215,274.989,276.215,300.962,0,20.8209,20.3735,19.6855
124,0,1,0.94,2.44828,0,331.878,331.878,330.056,350.781,0,20.0909,19.6867,19.1069
125,0,1,0.59,2.125,0,106.466,106.466,104.163,108.517,0,23.7932,23.4601,22.9669
126,0,1,0.72,1.5641,0,119.835,119.835,115.901,124.948,0,23.8049,23.5217,22.8799
127,0,1,0.48,1.27273,0,98.0599,105.212,98.0599,94.2063,0,23.3065,23.1841,23.0428
128,0,1,1.05,1.38095,0,175.955,182.654,173.708,175.955,0,22.9804,22.7704,22.3992
129,0,1,2.4,1.5641,0,181.473,178.938,181.473,243.332,0,25.2712,24.782,23.1927
130,0,1,0.8,3.16667,0,164.106,167.873,164.106,161.515,0,22.6208,22.2912,22.0449
131,0,1,0.66,1,0,133.203,140.962,133.203,129.123,0,22.8695,22.6873,22.507
132,0,1,1.65,1.43902,0,207.99,228.155,207.99,188.54,0,23.2231,23.1969,23.3079
133,0,1,0.94,3.7619,0,174.811,170.082,174.811,194.677,0,22.9941,22.4469,21.6641
134,0,1,0.49,2.7037,0,104.604,110.8,104.604,103.359,0,23.1352,22.957,22.6936
135,0,1,0.92,1.5641,0,188.805,188.371,188.805,205.388,0,22.4931,22.055,21.374
136,0,1,0.72,1.7027,0,202.946,202.946,194.633,204.394,0,21.5169,21.2705,20.7425
137,0,1,1.52,2.44828,0,190.123,183.998,190.123,218.85,0,23.9384,23.3681,22.4415
138,0,1,0.66,1.08333,0,131.167,138.386,130.85,131.167,0,22.9496,22.7647,22.4388
139,0,1,0.47,3.34783,0,202.304,209.513,202.304,199.385,0,20.2605,19.9845,19.7322
140,0,1,0.61,1.32558,0,122.114,129.231,122.114,120.711,0,23.0392,22.8571,22.592
141,0,1,1.06,2.84615,0,264.784,263.632,264.784,287.745,0,21.4121,20.9651,20.2885
142,0,1,0.43,1.7027,0,97.3106,104.682,97.3106,88.6239,0,23.0445,22.9335,23.0242
143,0,1,2.5,3.34783,0,231.85,211.781,231.85,259.074,0,24.6467,23.8254,23.0278
144,0,1,1.67,1.5641,0,228.443,208.926,228.443,289.784,0,23.6376,22.8217,21.4733
145,0,1,0.197933,2.125,0,107.718,nan,nan,nan,0,17.6961,17.4283,17.6438
146,0,1,0.64,4,0,127.483,127.483,120.472,128.012,0,23.2248,23.0424,22.4633
147,0,1,2.03,1.5641,0,225.351,213.142,225.351,262.28,0,24.0695,23.3995,22.425
148,0,1,1.27,3.54545,0,284.508,309.157,284.508,234.809,0,21.2042,21.137,21.6554
149,0,1,1.04,2.125,0,147.648,146.945,147.648,150.062,0,23.8996,23.4507,23.0649
